"geneID","PH6WC_XY335","PH4CVvsXY335","PH4CVvsPH6WC","RIL335"
"Zm00001d002576",0,0,0,1
"Zm00001d002580",0,1,1,0
"Zm00001d002584",0,0,0,1
"Zm00001d002585",0,1,0,0
"Zm00001d002589",0,0,0,1
"Zm00001d002591",0,1,0,0
"Zm00001d002592",1,0,0,0
"Zm00001d002595",0,1,0,0
"Zm00001d002597",1,1,1,0
"Zm00001d002598",0,0,0,1
"Zm00001d002600",1,0,1,0
"Zm00001d002601",0,0,1,0
"Zm00001d002610",1,1,1,0
"Zm00001d002611",0,1,0,0
"Zm00001d002615",0,0,0,1
"Zm00001d002623",1,0,0,0
"Zm00001d002626",0,1,1,0
"Zm00001d002632",1,1,1,0
"Zm00001d002634",0,0,1,0
"Zm00001d002641",0,1,0,0
"Zm00001d002649",0,0,0,1
"Zm00001d002650",1,1,0,1
"Zm00001d002654",0,0,0,1
"Zm00001d002658",0,1,1,1
"Zm00001d002663",0,1,0,0
"Zm00001d002668",0,0,0,1
"Zm00001d002673",0,1,1,0
"Zm00001d002677",0,1,1,0
"Zm00001d002678",0,1,0,1
"Zm00001d002684",0,1,0,0
"Zm00001d002685",1,0,0,0
"Zm00001d002688",0,0,0,1
"Zm00001d002690",0,1,1,0
"Zm00001d002696",0,0,0,1
"Zm00001d002703",0,1,0,0
"Zm00001d002704",1,1,0,0
"Zm00001d002705",1,1,0,0
"Zm00001d002707",0,0,1,0
"Zm00001d002708",1,0,0,1
"Zm00001d002712",0,0,0,1
"Zm00001d002714",1,1,0,1
"Zm00001d002715",0,0,1,1
"Zm00001d002718",1,0,0,0
"Zm00001d002727",0,0,1,0
"Zm00001d002730",0,0,0,1
"Zm00001d002733",0,1,0,0
"Zm00001d002735",0,0,0,1
"Zm00001d002739",0,0,1,0
"Zm00001d002755",0,1,1,1
"Zm00001d002758",1,0,1,1
"Zm00001d002759",1,1,1,1
"Zm00001d002761",0,0,0,1
"Zm00001d002770",1,0,1,1
"Zm00001d002771",0,0,0,1
"Zm00001d002778",1,1,0,0
"Zm00001d002782",0,1,0,0
"Zm00001d002794",0,0,0,1
"Zm00001d002796",0,0,0,1
"Zm00001d002799",0,1,0,0
"Zm00001d002801",1,1,0,0
"Zm00001d002806",0,0,0,1
"Zm00001d002810",1,1,0,0
"Zm00001d002812",1,1,0,0
"Zm00001d002814",0,0,0,1
"Zm00001d002816",0,0,1,0
"Zm00001d002817",0,1,1,0
"Zm00001d002820",0,0,0,1
"Zm00001d002821",0,0,0,1
"Zm00001d002823",0,1,0,0
"Zm00001d002824",1,1,1,0
"Zm00001d002825",0,1,0,0
"Zm00001d002830",0,0,0,1
"Zm00001d002833",0,0,0,1
"Zm00001d002834",1,0,1,0
"Zm00001d002835",0,0,1,0
"Zm00001d002836",0,0,0,1
"Zm00001d002837",0,0,1,0
"Zm00001d002844",1,1,0,1
"Zm00001d002847",1,0,1,1
"Zm00001d002848",0,1,1,1
"Zm00001d002850",0,0,0,1
"Zm00001d002851",0,0,0,1
"Zm00001d002854",0,1,0,0
"Zm00001d002860",1,0,1,1
"Zm00001d002864",0,1,0,0
"Zm00001d002867",0,0,1,0
"Zm00001d002869",0,0,0,1
"Zm00001d002873",0,1,0,0
"Zm00001d002881",0,0,0,1
"Zm00001d002885",0,0,0,1
"Zm00001d002893",0,0,1,0
"Zm00001d002896",1,1,0,0
"Zm00001d002898",0,0,0,1
"Zm00001d002901",1,1,0,0
"Zm00001d002904",0,0,0,1
